"","Reference.Type","Record.Number","Author","Year","Title","Journal","Volume","Issue","Pages","Short.Title","Label","Editor","Book.Title","City","Publisher","Short.Title..A.new.bat..Chiroptera","Date","Number.of.Pages","Academic.Department","University","Advisor","Thesis.Type","Series.Title","Notes","Last.Update.Date","Type.of.Medium","URL","Accession.Number","Series.Editor"
"1"," Journal Article","1282","D. Pagnac","2006","Scaphohippus, a new genus of horse (Mammalia; Equidae) from the Barstow Formation of California","Journal of Mammalian Evolution","13","1","37-61","Scaphohippus, a new genus of horse (Mammalia; Equidae) from the Barstow Formation of California","1358",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2"," Journal Article","1281","R. M. Hunt, Jr. and E. Stepleton","2006","Biochronologic and lithostratigraphic reappraisal of the upper John Day Formation, north-central Oregon","PaleoBios","26","2","21-25","Biochronologic and lithostratigraphic reappraisal of the upper John Day Formation, north-central Oregon","1357",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3"," Journal Article","1280","J. A. Baskin","2004","Bassariscus and Probassariscus (Mammalia, Carnivora, Procyonidae) from the early Barstovian (middle Miocene)","Journal of Vertebrate Paleontology","24","3","709-720","Bassariscus and Probassariscus (Mammalia, Carnivora, Procyonidae) from the early Barstovian (middle Miocene)","1356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4"," Journal Article","1279","G. S. Morgan and R. S. White, Jr.","2005","Miocene and Pliocene vertebrates from Arizona","New Mexico Museum of Natural History and Science Bulletin","29",NA,"115-136","Miocene and Pliocene vertebrates from Arizona","1355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5"," Journal Article","1278","M. O. Woodburne","2007","Phyletic diversification of the Cormohipparion occidentale complex (Mammalia; Perissodactyla, Equidae), late Miocene, North America, and the origin of the old world Hippotherium datum","Bulletin of the American Museum of Natural History","306",NA,"1-138","Phyletic diversification of the Cormohipparion occidentale complex (Mammalia; Perissodactyla, Equidae), late Miocene, North America, and the origin of the old world Hippotherium datum","1354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6"," Journal Article","1277","R. M. Hunt, Jr.","2005","An early Miocene dome-skulled chalicothere from the ""Arikaree"" conglomerates of Darton; calibrating the ages of high plains paleovalleys against Rocky Mountain tectonism","American Museum Novitates","3486",NA,"1-45","An early Miocene dome-skulled chalicothere from the ""Arikaree"" conglomerates of Darton; calibrating the ages of high plains paleovalleys against Rocky Mountain tectonism","1353",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7"," Journal Article","1276","B. J. MacFadden, N. Solounias and T. E. Cerling","1999","Ancient diets, ecology, and extinction of 5-million-year-old horses from Florida","Science","283",NA,"824-827","Ancient diets, ecology, and extinction of 5-million-year-old horses from Florida","1352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8"," Journal Article","1275","H. F. Evans","2000","A new specimen of the flying squirrel Cryptopterus webbi","Journal of Vertebrate Paleontology, Supplement","20","3","40A","A new specimen of the flying squirrel Cryptopterus webbi","1351",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9"," Journal Article","1274","S. D. Webb, R. C. Hulbert, Jr., G. S. Morgan and H. F. Evans","2008","Terrestrial mammals of the Palmetto fauna (early Pliocene, latest Hemphillian) from the central Florida phosphate district","Natural History Museum of Los Angeles County, Science Series","41",NA,"293-312","Terrestrial mammals of the Palmetto fauna (early Pliocene, latest Hemphillian) from the central Florida phosphate district","1350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10"," Journal Article","1273","S. D. Webb","2008","Revision of the extinct Pseudoceratinae (Artiodactyla; Ruminantia; Gelocidae)","Bulletin of the Florida Museum of Natural History","48","2","17-58","Revision of the extinct Pseudoceratinae (Artiodactyla; Ruminantia; Gelocidae)","1349",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11"," Journal Article","1272","W. W. Korth","2007e","A new genus of beaver (Rodentia, Castoridae) from the Miocene (Clarendonian) of North America and systematics of the Castoroidinae based on comparative cranial anatomy","Annals of Carnegie Museum","76","2","117-134","A new genus of beaver (Rodentia, Castoridae) from the Miocene (Clarendonian) of North America and systematics of the Castoroidinae based on comparative cranial anatomy","1348",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12"," Journal Article","1271","W. W. Korth and B. E. Bailey","2006","Earliest castoroidine beaver (Rodentia, Castoridae) from the late Arikareean (early Miocene) of Nebraska","Annals of Carnegie Museum","75","4","237-245","Earliest castoroidine beaver (Rodentia, Castoridae) from the late Arikareean (early Miocene) of Nebraska","1347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13"," Journal Article","1270","W. W. Korth","2007d","The skull of Nothodipoides (Castoridae, Rodentia) and the occurrence of fossorial adaptations in beavers","Journal of Paleontology","81","6","1533-1537","The skull of Nothodipoides (Castoridae, Rodentia) and the occurrence of fossorial adaptations in beavers","1346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14"," Journal Article","1269","W. W. Korth and J. E. Martin","2007","Additional cranial material of the Miocene beaver Anchitheriomys (Rodentia, Castoridae) from Nebraska","Bulletin of Carnegie Museum of Natural History","39",NA,"165-171","Additional cranial material of the Miocene beaver Anchitheriomys (Rodentia, Castoridae) from Nebraska","1345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15"," Journal Article","1268","R. C. Hulbert, Jr. and F. C. Whitmore, Jr.","2006","Late Miocene mammals from the Mauvilla local fauna, Alabama","Bulletin of the Florida Museum of Natural History","46","1","1-28","Late Miocene mammals from the Mauvilla local fauna, Alabama","1344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16"," Journal Article","1267","S. D. Webb, B. L. Beatty and G. Poinar, Jr.","2003","New evidence of Miocene Protoceratidae including a new species from Chiapas, Mexico","Bulletin of the American Museum of Natural History","13","279","348-367","New evidence of Miocene Protoceratidae including a new species from Chiapas, Mexico","1343",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17"," Journal Article","1266","W. W. Korth and C. Branciforte","2007","Geomyoid rodents (Mammalia) from the Ridgeview local fauna, early-early Arikareean (late Oligocene) of western Nebraska","Annals of Carnegie Museum","76","3","177-201","Geomyoid rodents (Mammalia) from the Ridgeview local fauna, early-early Arikareean (late Oligocene) of western Nebraska","1342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18"," Journal Article","1265","T. S. Kelly","2007","A new species of Bensonomys (Rodentia, Cricetidae) from the late early Hemphillian (late Miocene), Coal Valley Formation, Smith Valley, Nevada","Paludicola","6","3","125-138","A new species of Bensonomys (Rodentia, Cricetidae) from the late early Hemphillian (late Miocene), Coal Valley Formation, Smith Valley, Nevada","1341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19"," Journal Article","1264","W. W. Korth","2007c","Mammals from the Blue Ash local fauna (late Oligocene). South Dakota, Marsupialia and Lagomorpha","Paludicola","6","3","111-117","Mammals from the Blue Ash local fauna (late Oligocene). South Dakota, Marsupialia and Lagomorpha","1340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20"," Journal Article","1263","W. W. Korth","2007b","Mammals from the Blue Ash local fauna (late Oligocene), South Dakota.  Rodentia, Part I; families Eutypomyidae, Eomyidae, Heliscomyidae, and Zetamys","Paludicola","6","2","31-40","Mammals from the Blue Ash local fauna (late Oligocene), South Dakota.  Rodentia, Part I; families Eutypomyidae, Eomyidae, Heliscomyidae, and Zetamys","1339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21"," Book Section","1262","S. E. Foss","2007","Family Entelodontidae",NA,NA,NA,"120-129","Family Entelodontidae","1338","D. R. Prothero and S. E. Foss","The Evolution of Artiodactyls","Baltimore","Johns Hopkins University Press",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22"," Book Section","1261","F. Lihoreau and S. Ducrocq","2007","Family Anthracotheriidae",NA,NA,NA,"89-105","Family Anthracotheriidae","1337","D. R. Prothero and S. E. Foss","The Evolution of Artiodactyls","Baltimore","Johns Hopkins University Press",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23"," Book Section","1260","S. D. Webb","2000","Evolutionary history of New World Cervidae",NA,NA,NA,"38-64","Evolutionary history of New World Cervidae","1336","E. S. Vrba and G. B. Schaller","Antelopes, Deer, and Relatives; Fossil Record, Behavioral Ecology, Systematics, and Conservation","New Haven","Yale University Press",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24"," Journal Article","1259","G. S. Morgan","1986","The so-called giant Miocene dolphin Megalodelphis magnidens Kellogg (Mammalia; Cetacea) is actually a crocodile (Reptilia; Crocodilia)","Journal of Paleontology","60","2","411-417","The so-called giant Miocene dolphin Megalodelphis magnidens Kellogg (Mammalia; Cetacea) is actually a crocodile (Reptilia; Crocodilia)","1335",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25"," Journal Article","1258","A. Berta and H. Galiano","1983","Megantereon hesperus from the late Hemphillian of Florida with remarks on the phylogenetic relationships of machairodonts (Mammalia, Felidae, Machairodontinae)","Journal of Paleontology","57","5","892-899","Megantereon hesperus from the late Hemphillian of Florida with remarks on the phylogenetic relationships of machairodonts (Mammalia, Felidae, Machairodontinae)","1334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26"," Journal Article","1257","D. B. Wright and S. D. Webb","1984","Primitive Mylohyus (Artiodactyla; Tayassuidae) from the late Hemphillian Bone Valley of Florida","Journal of Vertebrate Paleontology","3","3","152-159","Primitive Mylohyus (Artiodactyla; Tayassuidae) from the late Hemphillian Bone Valley of Florida","1333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27"," Journal Article","1256","B. J. MacFadden and H. Galiano","1981","Late Hemphillian cat (Mammalia, Felidae) from the Bone Valley formation of central Florida","Journal of Paleontology","55","1","218-226","Late Hemphillian cat (Mammalia, Felidae) from the Bone Valley formation of central Florida","1332",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28"," Journal Article","1255","S. D. Webb","1981","Kyptoceras amatorum, new genus and species from the Pliocene of Florida, the last protoceratid artiodactyl","Journal of Vertebrate Paleontology","1","3-4","357-365","Kyptoceras amatorum, new genus and species from the Pliocene of Florida, the last protoceratid artiodactyl","1331",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29"," Journal Article","1254","S. J. Olsen","1956c","A new species of Osteoborus from the Bone Valley formation of Florida","Florida Geological Survey, Special Publication","2","1","1-5","A new species of Osteoborus from the Bone Valley formation of Florida","1330",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30"," Journal Article","1253","T. E. White","1941b","Additions to the fauna of the Florida Pliocene","Proceedings of the New England Zoölogical Club","18",NA,"67-70","Additions to the fauna of the Florida Pliocene","1329",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31"," Journal Article","1252","S. J. Olsen","1960b","Age and faunal relationships of Tapiravus remains from Florida","Journal of Paleontology","34","1","164-167","Age and faunal relationships of Tapiravus remains from Florida","1328",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32"," Journal Article","1251","T. E. White","1942b","Additions to the fauna of the Florida phosphates","Proceedings of the New England Zoölogical Club","21",NA,"87-91","Additions to the fauna of the Florida phosphates","1327",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33"," Journal Article","1249","X. Wang and S. Wallace","2004","Two new immigrants from the old world; the earliest and most primitive red panda (Parailurus) and a new eurasian badger (Arctomeles) from late Miocene/early Pliocene Gray Fossil Site, eastern Tennessee","Journal of Vertebrate Paleontology, Supplement","24","3","126A","Two new immigrants from the old world; the earliest and most primitive red panda (Parailurus) and a new eurasian badger (Arctomeles) from late Miocene/early Pliocene Gray Fossil Site, eastern Tennessee","1326",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34"," Journal Article","1248","S. C. Wallace, X. Wang and B. Schubert","2004","Hypo- and hyper-carnivores from the late Miocene/early Pliocene Gray Fossil Site; indications of a connection between the forested biomes of North America and Eurasia","Journal of Vertebrate Paleontology, Supplement","24","3","126A","Hypo- and hyper-carnivores from the late Miocene/early Pliocene Gray Fossil Site; indications of a connection between the forested biomes of North America and Eurasia","1325",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35"," Journal Article","1247","S. Wallace and R. C. Hulbert","2005","Morphology and systematics of the Hemphillian (Miocene) Gray fossil site tapir","Journal of Vertebrate Paleontology, Supplement","25","3","127A","Morphology and systematics of the Hemphillian (Miocene) Gray fossil site tapir","1324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36"," Journal Article","1246","D. P. Domning","1990","Fossil Sirenia of the west Atlantic and Caribbean region.  IV.  Corystosiren varguezi, gen. et sp. nov.","Journal of Vertebrate Paleontology","10","3","361-371","Fossil Sirenia of the west Atlantic and Caribbean region.  IV.  Corystosiren varguezi, gen. et sp. nov.","1323",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37"," Journal Article","1245","B. J. MacFadden","1982b","An overview of late Cenozoic terrestrial vertebrates from northcentral Florida","Southeastern Geological Society Guidebook","24",NA,"40-62","An overview of late Cenozoic terrestrial vertebrates from northcentral Florida","1322",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38"," Journal Article","1244","B. J. MacFadden","1986b","Late Hemphillian monodactyl horses (Mammalia, Equidae) from the Bone Valley Formation of central Florida","Journal of Paleontology","60","2","466-475","Late Hemphillian monodactyl horses (Mammalia, Equidae) from the Bone Valley Formation of central Florida","1321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39"," Journal Article","1243","S. D. Webb and N. Tessman","1968","A Pliocene vertebrate fauna from low elevation in Manatee County","American Journal of Science","266","9","777-811","A Pliocene vertebrate fauna from low elevation in Manatee County","1320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40"," Journal Article","1242","D. B. Wright","1993","Evolution of sexually dimorphic characters in peccaries (Mammalia, Tayassuidae)","Paleobiology","19","1","52-70","Evolution of sexually dimorphic characters in peccaries (Mammalia, Tayassuidae)","1319",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41"," Journal Article","1241","S. D. Webb","1973","Pliocene pronghorns of Florida","Journal of Mammalogy","54","1","203-221","Pliocene pronghorns of Florida","1318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42"," Journal Article","1240","B. J. MacFadden","1986a","Fossil horses from ""Eohippus"" (Hyracotherium) to Equus; scaling, Cope's Law, and the evolution of body size","Paleobiology","12","4","355-369","Fossil horses from ""Eohippus"" (Hyracotherium) to Equus; scaling, Cope's Law, and the evolution of body size","1317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43"," Journal Article","1239","B. J. MacFadden and T. E. Cerling","1996","Mammalian herbivore communities, ancient feeding ecology, and carbon isotopes; a 10 million-year sequence from the Neogene of Florida","Journal of Vertebrate Paleontology","16","1","103-115","Mammalian herbivore communities, ancient feeding ecology, and carbon isotopes; a 10 million-year sequence from the Neogene of Florida","1316",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44"," Journal Article","1238","J. J. Becker","1986","A fossil motmot (Aves; Momotidae) from the late Miocene of Florida","The Condor","88","4","478-482","A fossil motmot (Aves; Momotidae) from the late Miocene of Florida","1315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45"," Journal Article","1237","B. J. MacFadden","1998b","Tale of two rhinos; isotopic ecology, paleodiet, and niche differentiation of Aphelops and Teleoceras from the Florida Neogene","Paleobiology","24","2","274-286","Tale of two rhinos; isotopic ecology, paleodiet, and niche differentiation of Aphelops and Teleoceras from the Florida Neogene","1314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46"," Book Section","1236","B. J. MacFadden and R. C. Hulbert, Jr.","1990","Body size estimates and size distribution of ungulate mammals from the late Miocene Love Bone Bed of Florida",NA,NA,NA,"337-363","Body size estimates and size distribution of ungulate mammals from the late Miocene Love Bone Bed of Florida","1313","J. Damuth and B. J. MacFadden","Body Size in Mammalian Paleobiology; Estimation and Biological Implications","Cambridge","Cambridge University Press",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47"," Journal Article","1235","B. J. MacFadden and J. S. Waldrop","1980","Nannippus phlegon (Mammalia, Equidae) from the Pliocene (Blancan) of Florida","Bulletin of the Florida State Museum, Biological Sciences","25","1","1-37","Nannippus phlegon (Mammalia, Equidae) from the Pliocene (Blancan) of Florida","1312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48"," Journal Article","1234","R. S. Bader","1956","A quantitative study of the Equidae of the Thomas Farm Miocene","Bulletin of the Museum of Comparative Zoology","115","2","49-78","A quantitative study of the Equidae of the Thomas Farm Miocene","1311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49"," Journal Article","1233","O. P. Hay","1921","Descriptions of species of Pleistocene Vertebrata, types or specimens of most of which are preserved in the United States National Museum","Proceedings of the United States National Museum","59","2391","599-642","Descriptions of species of Pleistocene Vertebrata, types or specimens of most of which are preserved in the United States National Museum","1310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50"," Journal Article","1232","O. P. Hay","1919","Descriptions of some mammalian and fish remains from Florida from probably Pleistocene age","Proceedings of the United States National Museum","56","2291","103-112","Descriptions of some mammalian and fish remains from Florida from probably Pleistocene age","1309",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51"," Journal Article","1231","R. C. Hulbert, Jr., A. Poyer and S. D. Webb","2002","Tyner Farm, a new early Hemphillian local fauna from north-central Florida","Journal of Vertebrate Paleontology, Supplement","22","3","68A","Tyner Farm, a new early Hemphillian local fauna from north-central Florida","1308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52"," Journal Article","1230","R. C. Hulbert, Jr.","2005","Late Miocene Tapirus (Mammalia, Perissodactyla) from Florida, with description of a new species, Tapirus webbi","Bulletin of the Florida Museum of Natural History","45","4","465-494","Late Miocene Tapirus (Mammalia, Perissodactyla) from Florida, with description of a new species, Tapirus webbi","1307",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53"," Journal Article","1229","O. P. Hay","1916","Descriptions of some Floridian fossil vertebrates, belonging mostly to the Pleistocene","Florida State Geological Survey","8",NA,"39-76","Descriptions of some Floridian fossil vertebrates, belonging mostly to the Pleistocene","1306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54"," Journal Article","1228","R. C. Hulbert, Jr.","1990","The taxonomic status of Hipparion minus Sellards, 1916 (Mammalia, Equidae)","Journal of Paleontology","64","5","855-856","The taxonomic status of Hipparion minus Sellards, 1916 (Mammalia, Equidae)","1305",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55"," Journal Article","1227","R. C. Hulbert, Jr. and G. S. Morgan","1989","Stratigraphy, paleoecology, and vertebrate fauna of the Leisey Shell Pit local fauna, early Pleistocene (Irvingtonian) of southwestern Florida","Papers in Florida Paleontology","2",NA,"1-19","Stratigraphy, paleoecology, and vertebrate fauna of the Leisey Shell Pit local fauna, early Pleistocene (Irvingtonian) of southwestern Florida","1304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56"," Journal Article","1226","J. A. Baskin","1980","Evolutionary reversal in Mylagaulus (Mammalia, Rodentia) from the late Miocene of Florida","American Midland Naturalist","104","1","155-162","Evolutionary reversal in Mylagaulus (Mammalia, Rodentia) from the late Miocene of Florida","1303",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57"," Journal Article","1225","S. D. Webb","1966","A relict species of the burrowing rodent, Mylagaulus, from the Pliocene of Florida","Journal of Mammalogy","47","3","401-412","A relict species of the burrowing rodent, Mylagaulus, from the Pliocene of Florida","1302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58"," Journal Article","1224","S. D. Webb","1969b","The Pliocene Canidae of Florida","Bulletin of the Florida State Museum","14","4","273-308","The Pliocene Canidae of Florida","1301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59"," Journal Article","1223","W. D. Lambert","1997","The osteology and paleoecology of the giant otter Enhydritherium terraenovae","Journal of Vertebrate Paleontology","17","4","738-749","The osteology and paleoecology of the giant otter Enhydritherium terraenovae","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60"," Journal Article","1222","J. J. Becker","1985","Fossil herons (Aves; Ardeidae) of the late Miocene and early Pliocene of Florida","Journal of Vertebrate Paleontology","5","1","24-31","Fossil herons (Aves; Ardeidae) of the late Miocene and early Pliocene of Florida","1299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61"," Journal Article","1221","J. Leidy","1886b","An extinct boar from Florida","Proceedings of the Academy of Natural Sciences of Philadelphia","38",NA,"37-38","An extinct boar from Florida","1298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62"," Journal Article","1220","J. Leidy and F. A. Lucas","1896","Fossil vertebrates from the Alachua Clays of Florida","Transactions of the Wagner Free Institute of Science of Philadelphia","4",NA,"1-61","Fossil vertebrates from the Alachua Clays of Florida","1297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63"," Journal Article","1219","J. Leidy","1887","Fossil bones from Florida","Proceedings of the Academy of Natural Sciences of Philadelphia","39",NA,"309-310","Fossil bones from Florida","1296",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64"," Journal Article","1218","J. Leidy","1890c","Fossil vertebrates from Florida","Proceedings of the Academy of Natural Sciences of Philadelphia","42",NA,"64-65","Fossil vertebrates from Florida","1295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65"," Journal Article","1217","J. Leidy","1886a","Mastodon and Llama from Florida","Proceedings of the Academy of Natural Sciences of Philadelphia","38",NA,"11-12","Mastodon and Llama from Florida","1294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66"," Journal Article","1216","J. Leidy","1890b","Hippotherium and Rhinoceros from Florida","Proceedings of the Academy of Natural Sciences of Philadelphia","42",NA,"182-183","Hippotherium and Rhinoceros from Florida","1293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67"," Journal Article","1215","J. Leidy","1884","Vertebrate fossils from Florida","Proceedings of the Academy of Natural Sciences of Philadelphia","36",NA,"118-119","Vertebrate fossils from Florida","1292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68"," Journal Article","1214","J. Leidy","1885","Rhinoceros and Hippotherium from Florida","Proceedings of the Academy of Natural Sciences of Philadelphia","37",NA,"32-33","Rhinoceros and Hippotherium from Florida","1291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69"," Journal Article","1213","B. J. MacFadden","1982a","New species of primitive three-toed browsing horse from the Miocene phosphate mining district of central Florida","Florida Scientist","45","2","117-125","New species of primitive three-toed browsing horse from the Miocene phosphate mining district of central Florida","1290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70"," Journal Article","1212","A. Berta and H. Galiano","1984","A Miocene amphicyonid (Mammalia; Carnivora) from the Bone Valley Formation of Florida","Journal of Vertebrate Paleontology","4","1","122-125","A Miocene amphicyonid (Mammalia; Carnivora) from the Bone Valley Formation of Florida","1289",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71"," Journal Article","1211","A. E. Wood","1947","Miocene rodents from Florida","Bulletin of the Museum of Comparative Zoology at Harvard College","99","3","489-494","Miocene rodents from Florida","1288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72"," Book Section","1210","B. J. MacFadden and S. D. Webb","1982","The succession of Miocene (Arikareean through Hemphillian) terrestrial mammalian localities and faunas in Florida",NA,"25",NA,"186-199","The succession of Miocene (Arikareean through Hemphillian) terrestrial mammalian localities and faunas in Florida","1287","T. M. Scott and S. B. Upchurch","Miocene of the Southeastern Unites States","Tallahassee","Florida Department of Natural Resources",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73"," Journal Article","1209","H. E. Wood, II","1964","Rhinoceroses from the Thomas Farm Miocene of Florida","Bulletin of the Museum of Comparative Zoology, Harvard University","130","5","363-386","Rhinoceroses from the Thomas Farm Miocene of Florida","1286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74"," Journal Article","1208","T. H. Patton","1966","Revision of the selenodont artiodactyls from Thomas Farm","Quarterly Journal of the Florida Academy of Sciences","29","3","179-190","Revision of the selenodont artiodactyls from Thomas Farm","1285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
