"","Reference.Type","Record.Number","Author","Year","Title","Journal","Volume","Issue","Pages","Short.Title","Label","Editor","Book.Title","City","Publisher","Short.Title..A.new.bat..Chiroptera","Date","Number.of.Pages","Academic.Department","University","Advisor","Thesis.Type","Series.Title","Notes","Last.Update.Date","Type.of.Medium","URL","Accession.Number","Series.Editor"
"816"," Journal Article","727","W. W. Korth","1999c","A new species of beaver (Rodentia, Castoridae) from the earliest Barstovian (Miocene) of Nebraska and the phylogeny of Monosaulax Stirton","Paludicola","2","3","258-264","A new species of beaver (Rodentia, Castoridae) from the earliest Barstovian (Miocene) of Nebraska and the phylogeny of Monosaulax Stirton","438",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"817"," Journal Article","857","J. C. Merriam","1913c","Notes on the canid genus Tephrocyon","University of California Publications, Bulletin of the Department of Geology","7",NA,"359-372","Notes on the canid genus Tephrocyon","437",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"818"," Journal Article","725","H. G. Pierce and D. L. Rasmussen","1989","New land snails (Archaeogastropoda, Helicinidae) from the Miocene (early Barstovian) Flint Creek beds of western Montana","Journal of Paleontology","63","6","846-851","New land snails (Archaeogastropoda, Helicinidae) from the Miocene (early Barstovian) Flint Creek beds of western Montana","436",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"819"," Journal Article","724","C. C. Black","1961c","Fossil Mammals from Montana. Part 1.  Additions to the late Miocene Flint Creek local fauna","Annals of the Carnegie Museum","36",NA,"69-76","Fossil Mammals from Montana. Part 1.  Additions to the late Miocene Flint Creek local fauna","435",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"820"," Journal Article","723","R. Skolnick","1985","The geology and paleontology of the Lay Ranch beds","Proceedings of the Nebraska Academy of Sciences","95",NA,"1-54","The geology and paleontology of the Lay Ranch beds","434",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"821"," Journal Article","722","C. B. Schultz and C. H. Falkenbach","1950","Phenacocoelinae, a new subfamily of oreodonts","Bulletin of the American Museum of Natural History","95",NA,"87-150","Phenacocoelinae, a new subfamily of oreodonts","433",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"822"," Journal Article","721","R. M. Hunt, Jr.","1985b","Geology and paleontology of the Patrick Buttes, Wyoming-Nebraska","National Geographic Society Research Reports","20",NA,"399-416","Geology and paleontology of the Patrick Buttes, Wyoming-Nebraska","432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"823"," Journal Article","719","C. Frick and B. E. Taylor","1968","A generic review of the stenomyline camels","American Museum Novitates","2353",NA,"1-51","A generic review of the stenomyline camels","430",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"824"," Journal Article","718","E. Douglass","1907a","New merycoidodonts from the Miocene of Montana","Bulletin of the American Museum of Natural History","23",NA,"809-822","New merycoidodonts from the Miocene of Montana","429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"825"," Journal Article","717","T. E. White","1954","Preliminary analysis of the fossil vertebrates of the Cayon Ferry Reservoir area","Proceedings of the United States National Museum","103","3326","395-438","Preliminary analysis of the fossil vertebrates of the Cayon Ferry Reservoir area","428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"826"," Journal Article","716","F. B. Loomis","1932b","The small carnivores of the Miocene","American Journal of Science","224",NA,"316-329","The small carnivores of the Miocene","427",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"827"," Journal Article","715","A. D. Barnosky","2001","Distinguishing the effects of the Red Queen and Court Jester on Miocene mammal evolution in the northern Rocky Mountains","Journal of Vertebrate Paleontology","21","1","172-185","Distinguishing the effects of the Red Queen and Court Jester on Miocene mammal evolution in the northern Rocky Mountains","426",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"828"," Web Page","714","J. Alroy","2000","North American Mammalian Paleofauna Database",NA,NA,NA,NA,"North American Mammalian Paleofauna Database","425",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"June 2000","internet","http://www.nceas.ucsb.edu/~alroy/nampfd.html",NA,NA
"829"," Journal Article","713","H. E. Koerner","1940","The geology and vertebrate paleontology of the Fort Logan and Deep River formations of Montana","American Journal of Science","238","12","837-862","The geology and vertebrate paleontology of the Fort Logan and Deep River formations of Montana","424",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"830"," Journal Article","712","C. C. Black","1961b","Rodents and lagomorphs from the Miocene Fort Logan and Deep River formations of Montana","Postilla, Yale Peabody Museum","48",NA,"1-20","Rodents and lagomorphs from the Miocene Fort Logan and Deep River formations of Montana","423",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"831"," Journal Article","711","E. Douglass","1903","New vertebrates from the Montana Tertiary","Annals of the Carnegie Museum","11","1","145-199","New vertebrates from the Montana Tertiary","422",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"832"," Journal Article","710","W. B. Scott","1896","The mammalia of the Deep River Beds","Transactions of the American Philosophical Society","18","2","55-185","The mammalia of the Deep River Beds","421",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"833"," Journal Article","709","E. M. Schlaikjer","1935","Contributions to the stratigraphy and palaeontology of the Goshen Hole Area, Wyoming","Bulletin of the Museum of Comparative Zoology","76","4","1-230","Contributions to the stratigraphy and palaeontology of the Goshen Hole Area, Wyoming","420",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"834"," Journal Article","708","J. H. Wahlert","1984","Kirkomys, a New Florentiamyid (Rodentia, Geomyoidea) from the Whitneyan of Sioux County, Nebraska","American Museum Novitates","2793",NA,"1-8","Kirkomys, a New Florentiamyid (Rodentia, Geomyoidea) from the Whitneyan of Sioux County, Nebraska","419",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"835"," Journal Article","707","C. C. Black","1961a","New rodents from the early Miocene deposits of Sixty-Six Mountain, Wyoming","Breviora","146",NA,"1-7","New rodents from the early Miocene deposits of Sixty-Six Mountain, Wyoming","418",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"836"," Journal Article","706","C. C. Black","1958","A new sicistine rodent from the Miocene of Wyoming","Breviora","86",NA,"1-7","A new sicistine rodent from the Miocene of Wyoming","417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"837"," Journal Article","705","J. D. Love","1961","Split Rock formation (Miocene) and Moonstone formation (Pliocene) in Central Wyoming","Contributions to General Geology, Geological Survey Bulletin","1121-I",NA,"1-39","Split Rock formation (Miocene) and Moonstone formation (Pliocene) in Central Wyoming","416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"838"," Journal Article","704","J. Munthe","1979a","Summary of Miocene vertebrate fossils of the Granite Mountains Basin, central Wyoming","Contributions to Geology, The University of Wyoming","18","1","33-46","Summary of Miocene vertebrate fossils of the Granite Mountains Basin, central Wyoming","415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"839"," Journal Article","703","J. Munthe","1988","Miocene Mammals of the Split Rock Area, Granite Mountains Basin, Central Wyoming","University of California Publications in Geological Sciences","126",NA,"1-136","Miocene Mammals of the Split Rock Area, Granite Mountains Basin, Central Wyoming","414",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"840"," Journal Article","702","W. W. Korth","1998c","A new beaver (Rodentia, Castoridae) from the Orellan (Oligocene) of North Dakota","Paludicola","1","4","127-131","A new beaver (Rodentia, Castoridae) from the Orellan (Oligocene) of North Dakota","413",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"841"," Book Section","701","R. W. Fields, D. L. Rasmussen, A. R. Tabrum and R. Nichols","1985","Cenozoic rocks of the intermontane basins of western Montana and eastern Idaho; a summary",NA,NA,NA,"9-36","Cenozoic rocks of the intermontane basins of western Montana and eastern Idaho; a summary","412","R. M. Flores and S. S. Kaplan","Cenozoic Paleogeography of West-Central United States","Denver","Rocky Mountain Section, Society of Economic Paleontologists and Mineralogists",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"842"," Journal Article","700","R. A. Stirton","1935","A review of the Tertiary beavers","University of California Publications, Geological Sciences","23","13","391-458","A review of the Tertiary beavers","411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"843"," Journal Article","699","W. W. Korth","1996c","A new genus of beaver (Mammalia; Castoridae; Rodentia) from the Arikareean (Oligocene) of Montana and its bearing on castorid phylogeny","Annals of the Carnegie Museum","65","2","167-179","A new genus of beaver (Mammalia; Castoridae; Rodentia) from the Arikareean (Oligocene) of Montana and its bearing on castorid phylogeny","410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"844"," Book Section","858","D. L. Rasmussen and D. R. Prothero","2003","Lithostratigraphy, biostratigraphy, and magnetostratigraphy of Arikareean strata west of the Continental Divide in Montana",NA,NA,NA,"479-499","Lithostratigraphy, biostratigraphy, and magnetostratigraphy of Arikareean strata west of the Continental Divide in Montana","409","R. G. Raynolds and R. M. Flores","Cenozoic systems of the Rocky Mountain region","Denver","The Rocky Mountain Section, SEPM (Society for Sedimentary Geology)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"845"," Journal Article","697","M. Cassiliano","1980","Stratigraphy and vertebrate paleontology of the Horse Creek-Trail Creek area, Laramie County, Wyoming","Contributions to Geology, The University of Wyoming","19","1","25-68","Stratigraphy and vertebrate paleontology of the Horse Creek-Trail Creek area, Laramie County, Wyoming","408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"846"," Journal Article","696","E. Douglass","1902","Fossil mammalia of the White River beds of Montana","Transactions of the American Philosophical Society","20","3","237-279","Fossil mammalia of the White River beds of Montana","407",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"847"," Book Section","695","R. Nichols","1998","The Lemhi Valley Oligo-Miocene; An overview",NA,"36",NA,"10-12","The Lemhi Valley Oligo-Miocene; An overview","406","W. A. Akersten, H. G. McDonald, D. J. Meldrum and M. E. T. Flint","And Whereas . . . Papers on the Vertebrate Paleontology of Idaho Honoring John A. White, Vol 1","Pocatello","Idaho Museum of Natural History",NA,NA,NA,NA,NA,NA,NA,"Idaho Museum of Natural History Occasional Paper",NA,NA,NA,NA,NA,NA
"848"," Journal Article","694","R. Nichols","1979","Additional Early Miocene mammals from the Lemhi Valley of Idaho","Tebiwa","17",NA,"1-12","Additional Early Miocene mammals from the Lemhi Valley of Idaho","405",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
